,dates,NA1,NA2,NA3,NA4,NA5
0,2022-01-04 00:06:04+00:00,78.08102036650861,53.07378158655889,53.98461563076479,9.487741599899424,21.502858618934972
1,2022-01-29 00:06:08+00:00,97.72379817217548,74.63469040676762,67.00219053907756,43.973849015639345,69.63950010595804
2,2022-02-09 23:56:06+00:00,103.06451980198213,72.39541560627912,61.24731983163845,33.670518546056385,67.85371094062171
3,2022-02-13 00:06:02+00:00,94.53464244791317,57.295168840454686,43.73740895148791,22.845432463689427,58.16669306534887
4,2022-02-14 23:56:12+00:00,98.40388284345488,69.7490524398476,46.53186961308196,37.479148440848476,65.10996584093299
5,2022-02-18 00:06:09+00:00,96.39986315466518,66.5833819600843,46.932574145220386,24.83441198041359,72.07680366595947
6,2022-03-10 00:06:12+00:00,77.26697058328678,46.655028247753684,23.33970544781761,4.248466122711914,47.24978627514693
7,2022-03-11 23:56:10+00:00,81.07744265650449,50.17289567533286,45.4090099050167,20.84960473513135,56.976293977045806
8,2022-03-16 23:56:16+00:00,84.96056766267492,49.33279606632313,46.48696896857499,11.424386580931657,49.39183364503994
9,2022-03-20 00:06:11+00:00,72.31982896077882,47.185729777345124,34.2636970582965,8.748616972696224,47.453962039514664
10,2022-03-21 23:56:10+00:00,83.68786441796124,51.4742510660101,41.81623893146217,10.788175717689615,45.10960993508212
11,2022-04-04 00:06:04+00:00,74.65695949655549,56.514057492248554,30.334067186935762,22.85641669228588,40.188446825133354
12,2022-04-10 23:56:09+00:00,89.32239195836935,49.07275280715028,44.5107861778285,31.918202993274214,44.64964571608401
13,2022-04-19 00:06:12+00:00,79.79677093098762,40.419169926540235,29.29107465937011,13.073322864111686,39.37077479125579
14,2022-04-20 23:56:07+00:00,86.93748147036244,53.101631991306675,47.27584414851031,30.533954790815798,51.66692333606822
15,2022-05-04 00:06:03+00:00,92.26987307436127,53.872175528132686,51.17237500948258,31.64687084864517,48.493698714831424
16,2022-05-05 23:56:17+00:00,109.57719678397045,65.60038577405076,62.07607746590111,52.03024615466855,61.398546108981584
17,2022-05-15 23:56:17+00:00,99.4749874813158,61.76250283270238,63.626765310020566,45.11935888756863,51.28672651987046
18,2022-05-25 23:56:19+00:00,114.58604441905659,70.20497593463064,69.15944849256657,53.24775667271697,59.901044298242624
19,2022-05-29 00:06:15+00:00,102.29671599940698,69.65311647863072,73.66869253942048,58.124302459821195,57.03347202320728
20,2022-05-30 23:56:12+00:00,99.53407541809173,65.33608703021667,69.32917491677753,53.90065146434411,55.629104011863625
21,2022-06-08 00:06:12+00:00,98.45701664147525,77.27394522386604,74.25980757343301,59.89196043491389,65.34300897419853
22,2022-06-09 23:56:14+00:00,90.31330344858122,75.65333221284764,65.5051043876857,55.61971974247815,58.675605572887015
23,2022-06-13 00:06:11+00:00,70.82038633618023,60.89700915396344,50.17323684852104,32.341475563827345,29.79944338401875
24,2022-06-14 23:56:23+00:00,76.3396324734412,65.19472173817687,57.29639907915228,45.58798990010889,44.228673281536956
25,2022-06-18 00:06:19+00:00,90.3654935211774,64.33170058945228,51.75589328772291,50.218524834768616,45.45675179905437
26,2022-06-23 00:06:12+00:00,102.1429989106212,73.42646817745474,72.03233281210098,47.380900773009394,41.5801278150181
27,2022-06-24 23:56:24+00:00,110.31087665876004,85.82661254423962,82.88927232260326,62.051251073464385,61.64100347441029
28,2022-07-08 00:06:21+00:00,77.70944240100312,68.46745874889228,55.63764062883941,26.50920467558179,43.28630622468911
29,2022-07-13 00:06:12+00:00,69.5899740605614,58.68690156809506,42.08357876207401,10.956875480232302,24.577389236337204
30,2022-07-14 23:56:24+00:00,75.22832144529457,60.00800024651251,45.744544161793314,11.99901002320691,26.966677016014906
31,2022-07-24 23:56:22+00:00,88.80160719165158,71.10778558361933,66.0619030337484,15.562756044209898,37.81881385575423
32,2022-07-28 00:06:15+00:00,66.2090201301545,50.2569294991316,44.42538734674624,13.297518541723408,28.614230268362796
33,2022-07-29 23:56:17+00:00,70.15356610954423,51.944335040997885,49.04077981488301,8.269811489957615,
34,2022-08-02 00:06:12+00:00,78.62810264797656,61.72976383695516,58.81033849554849,16.95810818971138,29.904875233616515
35,2022-08-07 00:06:19+00:00,77.28299853969699,67.65275032579595,64.53502599416163,31.89503196329541,42.02726650270969
36,2022-08-17 00:06:20+00:00,76.67117715179035,62.663359856094246,60.2932306966451,19.42000591878704,30.87993791363133
37,2022-08-22 00:06:09+00:00,89.8215473273798,72.85907912752393,63.77539888396321,31.874799733109874,39.00934071625622
38,2022-08-23 23:56:25+00:00,84.46600278365727,67.42354073283184,62.32108678312726,26.31873431037685,40.501185969269834
39,2022-09-07 23:56:14+00:00,83.90317441854533,68.01877005859691,64.60499091544821,16.239273238958933,33.22459944947568
40,2022-09-11 00:06:10+00:00,85.7729536357318,61.271630101044295,57.24858820785088,11.678442812822855,26.69046206369225
41,2022-09-16 00:06:17+00:00,80.15884728092435,58.23227508775716,62.165324521398496,13.729937543508742,30.814784564538712
42,2022-10-02 23:56:19+00:00,93.63745052228975,65.46397284199708,67.0102551804357,15.38152188138147,42.37155529500034
43,2022-10-27 23:56:11+00:00,83.18088400542227,58.648313534287716,57.543310566153615,10.106933160889358,17.157561650602638
44,2022-11-01 23:56:16+00:00,99.83041828512496,71.70373247040476,81.30842087686027,35.72470771298714,49.601923612408314
45,2022-11-05 00:06:12+00:00,91.62363568501479,68.25686887681643,78.96411060312215,28.142321767459293,49.27760777651195
46,2022-11-06 23:56:10+00:00,90.80773418094881,63.851286601991966,68.47874773489171,20.840080835580274,38.90156501928254
